SLA Type,KPI Name,Pre State,After State,Đối tượng,SLA,Loại KPI,Tỷ lệ,Tính theo đơn hàng,Tình trung bình theo đối tượng,Column 11,,,,,,,II. SLA vận hành đơn cứu hộ (Dispatch SLA),,
,,,,,,,,,,,,,,,,,Ngoại thành / tỉnh (PA3),≤ 60 phút,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,KPI,,
,,,,,,,,,,,,,,,,,Tỷ lệ đến đúng ETA ≥ 90%,,
,,,,,,,,,,,,,,,,,Hệ thống cần,,
,,,,,,,,,,,,,,,,,tracking GPS driver,,
,,,,,,,,,,,,,,,,,tính ETA realtime,,
,,,,,,,,,,,,,,,,,cảnh báo nếu ETA > SLA,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,IV. SLA thời gian xử lý tại hiện trường,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Áp dụng trạng thái:,DRIVER_ON_THE_WAY → RESCUE_IN_PROGRESS → RESCUE_MOVE_TO_TOWING_POINT,
,,,,,,,,,,,,,,,,,SLA xử lý,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Loại sự cố,SLA,
,,,,,,,,,,,,,,,,,Mức 1: Nguy hiểm (tai nạn),≤ 45 phút,
,,,,,,,,,,,,,,,,,Mức 2: Kỹ thuật nặng,≤ 30 phút,
,,,,,,,,,,,,,,,,,Mức 3: Kỹ thuật nhẹ,≤ 15 phút,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,KPI,,
,,,,,,,,,,,,,,,,,Tỷ lệ xử lý tại chỗ thành công ≥ 80%,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,V. SLA kéo xe về gara,,
,,,,,,,,,,,,,,,,,Áp dụng trạng thái:,RESCUE_MOVE_TO_TOWING_POINT,
,,,,,,,,,,,,,,,,,SLA,,
,,,,,,,,,,,,,,,,,Khoảng cách,SLA,
,,,,,,,,,,,,,,,,,≤ 10km,≤ 30 phút,
,,,,,,,,,,,,,,,,,≤ 30km,≤ 60 phút,
,,,,,,,,,,,,,,,,,> 30km,theo ETA thực tế,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,VI. SLA hoàn thành đơn cứu hộ,,
,,,,,,,,,,,,,,,,,Áp dụng trạng thái,RESCUE_COMPLETED_BY_DRIVER → COMPLETED,
,,,,,,,,,,,,,,,,,SLA,,
,,,,,,,,,,,,,,,,,Bước,SLA,
,,,,,,,,,,,,,,,,,Driver hoàn thành,realtime,
,,,,,,,,,,,,,,,,,OSA xác nhận hoàn thành,≤ 5 phút,
,,,,,,,,,,,,,,,,,Cập nhật trạng thái hệ thống,realtime,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,KPI,,
,,,,,,,,,,,,,,,,,Tỷ lệ hoàn thành đơn ≥ 98%,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,VII. SLA chăm sóc sau dịch vụ (After Service SLA)- CSKH,,
,,,,,,,,,,,,,,,,,Áp dụng sau khi đơn COMPLETED,,
,,,,,,,,,,,,,,,,,Hoạt động,SLA,
,,,,,,,,,,,,,,,,,Thông báo hoàn thành,≤ 5 phút,
,,,,,,,,,,,,,,,,,CSKH gọi xác nhận,≤ 30 phút,
,,,,,,,,,,,,,,,,,Gửi khảo sát CSAT,≤ 2 giờ,
,,,,,,,,,,,,,,,,,Xử lý khiếu nại,≤ 24 giờ,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,KPI,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,KPI,Mục tiêu,
,,,,,,,,,,,,,,,,,CSAT,≥ 90%,
,,,,,,,,,,,,,,,,,Complaint rate,≤ 5%,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,VIII. SLA End-to-End tổng thể,,
,,,,,,,,,,,,,,,,,Thời gian từ tạo đơn → hoàn thành cứu hộ,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Loại ca,SLA,
,,,,,,,,,,,,,,,,,Xử lý tại chỗ,≤ 60 phút,
,,,,,,,,,,,,,,,,,Kéo xe về gara,≤ 120 phút,
